UserId,Date,Revenue
1326865,19-02-2017,17.05
1326865,28-02-2017,17.05
1326865,06-03-2017,17.16
1326865,07-03-2017,17.16
1326865,08-03-2017,17.16
1326865,21-03-2017,17.16
1326865,29-03-2017,17.16
1326865,30-03-2017,21.45
1326865,04-04-2017,17.09
1326865,05-04-2017,17.09
1326865,19-04-2017,17.09
1326865,23-04-2017,34.17
1326865,02-05-2017,21.36
1326865,04-05-2017,17.01
1326865,16-05-2017,17.01
1326865,14-06-2017,16.89
1326865,21-06-2017,16.89
1326865,14-08-2017,17.56
1326865,23-09-2017,17.91
1333278,14-01-2017,25
1333278,26-05-2017,20
1336967,12-12-2016,20
1339784,26-12-2016,29.19
1339784,29-12-2016,30.09
1339829,19-02-2017,17.05
1346806,11-04-2017,17.05
1361182,17-10-2016,20
1361182,18-10-2016,20
1361182,26-10-2016,20
1361182,03-11-2016,20
1361182,07-11-2016,20
1392534,09-01-2017,46.9
1405503,04-04-2017,25.39
1405503,06-04-2017,17.82
1415290,01-12-2016,50
1415290,31-12-2016,20
1415290,14-02-2017,20
1415290,30-05-2017,20
1415290,07-08-2017,20
1415290,19-09-2017,20
1417297,16-04-2017,11.68
1494447,30-09-2016,20
1610096,02-03-2017,50
1610096,06-09-2017,100
1617757,13-03-2017,11.68
1617757,13-07-2017,11.64
1618208,01-12-2016,21.32
1629211,04-10-2016,30
1629211,09-10-2016,58
1629211,16-10-2016,20
1629211,23-10-2016,20
1629211,03-11-2016,20
1629211,06-11-2016,20
1629211,08-11-2016,20
1629211,19-11-2016,20
1629211,20-11-2016,49.75
1629211,23-11-2016,55
1629211,27-12-2016,20
1629211,03-02-2017,50
1629211,04-02-2017,30
1629211,07-02-2017,30.65
1629211,12-02-2017,190
1629211,26-02-2017,160
1629211,27-02-2017,350
1629211,01-03-2017,55
1629211,08-03-2017,50
1629211,09-03-2017,50
1629211,11-03-2017,153
1629211,12-03-2017,50
1629211,14-03-2017,57
1629211,15-03-2017,300
1629211,21-03-2017,201
1629211,22-03-2017,200
1629211,23-03-2017,300
1629211,24-03-2017,25
1629211,27-03-2017,50
1629211,31-03-2017,27
1629211,01-04-2017,65
1629211,02-04-2017,40
1629211,04-04-2017,50
1629211,06-04-2017,30
1629211,07-04-2017,194
1629211,08-04-2017,23.9
1629211,09-04-2017,331
1629211,10-04-2017,50
1629211,12-04-2017,135
1629211,13-04-2017,40
1629211,14-04-2017,42
1629211,15-04-2017,21
1629211,17-04-2017,42
1629211,18-04-2017,70
1629211,20-04-2017,41
1629211,21-04-2017,70
1629211,22-04-2017,109
1629211,23-04-2017,145
1629211,24-04-2017,25
1629211,20-05-2017,20
1629211,11-07-2017,24
1632830,18-12-2016,20
1694925,01-03-2017,20
1694925,05-04-2017,20
1694925,07-04-2017,20
1694925,12-04-2017,20
1694925,21-04-2017,20
1694925,26-04-2017,20
1694925,08-05-2017,20
1708806,25-04-2017,20
1708806,27-04-2017,20
1708806,28-04-2017,20
1708806,29-04-2017,20
1728899,15-11-2016,11.68
1728899,24-12-2016,18.05
1728899,03-01-2017,12.4
1729986,21-02-2017,80
1729986,03-06-2017,40
1734610,27-09-2016,150
1734610,29-09-2016,55
1738641,19-02-2017,20
1738641,23-04-2017,40
1738641,23-07-2017,40
1781700,17-03-2017,29.19
1784259,28-03-2017,18.1
1792875,13-11-2016,17.82
1792875,18-12-2016,18.18
1792875,20-01-2017,17.88
1792875,05-03-2017,17.54
1792875,21-04-2017,17.87
1792875,11-06-2017,18.76
1792875,14-07-2017,19.48
1792875,21-08-2017,18.34
1816994,07-04-2017,20
1816994,20-06-2017,20
1816994,07-09-2017,20
1829548,03-02-2017,11.68
1829794,04-01-2017,11.68
1829794,11-07-2017,11.81
1831652,07-02-2017,20
1831652,02-04-2017,30
1831652,07-04-2017,20
1832338,20-04-2017,20
1832338,06-08-2017,20
1832388,03-01-2017,17.05
1832388,27-06-2017,21.95
1833302,23-01-2017,20
1833302,23-02-2017,20
